reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments
44,Ailport Creek,197976_ds,00000BULK,0,44,10.2,9.1,6.4,6.5,6.3,7.599999999999999,,7.683333333333331,,4.1,5.2,3.2,2.2,3.2,2.8,,3.45,metre tape,0.45,0.45,0.57,0.62,0.65,0.5,0.6,0.5485714285714286,,0.3,0.4,0.5,,0.4,,0.5,1,1.5,1,0.01,,low,,11,recording meter,248,,7.05,,Clear,moderate,sub-dominant,trace,trace,sub-dominant,dominant,sub-dominant,sub-dominant,1-20%,few,clumped,mosses,undercut,fines,,mixed forest,young forest,sloping,gravels,,shrubs,shrub,cobbles,gravels,70,21,,irregular meanders,Decoupled,unconfined,beaver dam,0.9,5.2,metre stick,9,680491,6039753,gps,"Main channel dry at waypoint WP409. Complicated stream, has high quality habitat throughout. Big, costant deep pools (0.5 - 0.95m) lots of fish of various sizes spotted in many pools. Good small woody debris and overhanging vegetation overtop of pools and often associated with deep undercut banks. Large woody debris reletively uncommon and in large clumps. Substrate cobble and gravel but lots of fines near blowdown and heavily degraded areas due to livestock. Beaver dam holding back wetted width of creek just downstream from area where main channel goes to ground. Beaver dam looks newish. Likely rebuild after freshet barbwire fence with posts pounded in substrate mid stream downstream of beaverdam. Clean transition of riparian damage once accross the fence and periodic riparian bank damage / erosion down from there. Very wide channels with large deposits of substrate (gravel/cobble/fines) throughout survey. Huge large and small woody debris jam marked with water flowing easily through / under at current levels. Creek needs better grating managementto protect awesome habitat."
45,Ailport Creek,197976_us,00000BULK,0,45,7.2,9.4,8.9,7.3,9.1,6.9,,8.133333333333333,,3.4,3.9,4.5,4.8,4.7,3.7,,4.166666666666667,metre tape,0.35,0.4,0.4,0.2,,,,0.3375,,0.3,0.4,0.35,,0.3499999999999999,,1.5,3,3,1.5,0.0225,,low,,11,recording meter,248,,7.05,,Clear,moderate,sub-dominant,trace,trace,sub-dominant,dominant,sub-dominant,trace,1-20%,few,clumped,mosses,undercut,gravels,,mixed forest,young forest,sloping,cobbles,,mixed forest,young forest,cobbles,gravels,74,19,,irregular meanders,Decoupled,unconfined,,,,,,,,,"Nice stream, moderate habitat value, fish sighted throughout. Deep pools are dominant but not nearly as good compared to below highway. Some nice undercut banks thoughout with overhanging vegetation and small woody debris near or over them. Sloped banks common throughout. Extensive algae growth seen during entire survey. Large woody debris quite rare and not seen mush embedded or across channel. Fences accrosss creek near highway including electric fence. Riparian / bank damage from livestock quite minimal and only seen in a few places as trails, perhaps watering sites."
46,Ailport Creek,197975_us,00000BULK,0,46,6.9,6.8,8.4,8.9,7.5,7.599999999999999,,7.683333333333333,,2.4,4.2,4.7,2.7,3.7,3.4,,3.5166666666666666,metre tape,0.35,0.3,0.45,0.3,0.3,0.35,,0.3416666666666666,,0.4,0.3,0.3,,0.33333333333333326,,3.5,2,3.5,3,0.03,,low,,,,,,,,,moderate,sub-dominant,trace,sub-dominant,sub-dominant,dominant,sub-dominant,trace,1-20%,few,clumped,,undercut,gravels,,mixed forest,young forest,sloping,cobbles,,mixed forest,young forest,cobbles,gravels,110,21,,sinuous,Decoupled,unconfined,,,,,,,,,"Moderate / high value habitat, lots of anthropogenic damage in first section of survey. Several dredges first 80m removed all habitat. Also grazed heavily initially so no vegetation on left bank. Heavy grazing continuous for another few hundred meters. Large woody debris somewhat rare on bottom half, signs of removal and often not across stream. Deep pools, undercut banks, and overhanging vegetation occurs in areas and holds most value for fish. Also instream boulders (small ones) and large cobbles provide cover. Fence across stream halfway up. Some areas have large piles of substrate deposited within extent of channel (perhaps from flooding). Saw some fish but not as consistently as other sites. Sometimes only water flowing through middle, no cover or habitat for stretches at a time. Need grazing management and stop dredging."
51,Tobbogan Creek,198042_us,00000NA,0,51,11.5,,,,,,,11.5,,11,,,,,,,11,metre tape,,,,,,,,,,,,,,,,0.25,,,,0.0025,,high,,,,,,,,Turbid,moderate,sub-dominant,trace,none,none,sub-dominant,sub-dominant,dominant,1-20%,none,,mosses,sloping,fines,,shrubs,shrub,sloping,cobbles,,deciduous forest,young forest,fines,gravels,,,,sinuous,Decoupled,unconfined,,,,,,,,,"High quality habitat . Site is out outflow of Tobbogan lake into start of creek. Lake habitat immediately upstream. Channel widens and flow of water stops. Lots of instream vegetation, sedges, willows, and overhaniging vegetation. Lake / wetland habitat. Outflow channel is ~11.5m and at bankful or just under sites are mainly fines with riparian and aquatic vegetation. Gradient close to 0. Flow is slow through crossing."
52,Tobbogan Creek,198042_ds,00000NA,0,52,7,,,,,,,7,,6,,,,,,,6,metre tape,,,,,,,,,,,,,,,,1,,,,0.01,,high,,,,,,,,Turbid,moderate,sub-dominant,sub-dominant,trace,sub-dominant,trace,sub-dominant,dominant,1-20%,few,evenly distributed,mosses,undercut,fines,,shrubs,shrub,sloping,fines,,mixed forest,young forest,fines,gravels,,,,sinuous,Decoupled,unconfined,,,,,,,,,"High quality habitat, channel and wetted width estimated. Creek deep and moving at moderate speed so challenging to survey. Downstream of crossing meets another creek right away, good riparian and instream vegetation throughout. Undercut banks present. Signs of beaver activity throughout including a couple blown out dams indicating creek may flood the channel and backwater the crossing. Gradient estimated."
53,Thompson Creek,198066_us,00000BULK,0,53,3.2,2.6,2.5,,,,,2.766666666666667,,2.1,2,2.3,,,,,2.1333333333333333,metre tape,,,,,,,,,,0.4,,,,0.4,,0.5,,,,0.005,,low,,,,,,,,,,none,none,none,dominant,sub-dominant,sub-dominant,none,41-70%,,,,,,,,,,,,,,,,,,,sinuous,,,,,,,,,,,"Medium value habitat because it is an important migration corridor. Fully channelized through agricultural area. Fine sediments, pool and glide habitat up to 80 cm deep. Canary reed grass riparian."
54,Thompson Creek,198066_ds,00000BULK,0,54,3.8,2.9,,,,,,3.35,,2.6,2.3,,,,,,2.45,metre tape,,,,,,,,,,,,,,,,1,2.5,,,0.0175,,,,,,,,,,,moderate,trace,trace,none,trace,trace,dominant,none,1-20%,,,,,fines,,grass,,,fines,,shrubs,,gravels,fines,,,,,,,,,,,,,,,Medium important migration corridor. Connects to oxbow of Bulkley. Hundreds of fish. (40 - 80mm)
55,Corya Creek,197960_us,00000BULK,0,55,22.73,22.8,19,14,10.5,19,,18.005,,8.32,11.3,7.9,8.5,8,9.4,,8.903333333333334,metre tape,0.35,1,,,,,,0.675,,0.5,0.6,0.4,0.5,0.5,,3.5,3,2.5,2,0.0275,,moderate,,8,recording meter,138,recording meter,8.599999999999998,recording meter,Clear,moderate,sub-dominant,sub-dominant,sub-dominant,sub-dominant,trace,dominant,none,1-20%,few,clumped,mosses,undercut,cobbles,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,gravels,110,29,,sinuous,Decoupled,unconfined,,,,,,,,,Channel and wetted width taken using rangefinder. 3 measurements for each to esure accuracy. Small area of riparian damage due to cattle near powerline bridge.  First 50 - 100m upstream of crossing channel and banks armoured with riprap.  One small area of riparian damage upstream near powerline due to cattle.
56,Corya Creek,197960_ds,00000BULK,0,56,37.6,23.2,22.2,20.2,23.7,,,25.380000000000003,,7.7,18.2,8.9,11.7,7.7,,,10.84,metre tape,0.46,,,,,,,0.46,,0.75,0.5,,,0.625,,1.5,2.5,1,,0.016666666666666666,,moderate,,8,recording meter,138,recording meter,8.599999999999998,recording meter,Clear,moderate,sub-dominant,sub-dominant,none,sub-dominant,sub-dominant,dominant,none,1-20%,few,clumped,none,undercut,fines,,deciduous forest,mature forest,sloping,cobbles,,shrubs,shrub,cobbles,gravels,,24,,irregular wandering,Decoupled,occasionally confined,,,,,,,,,Medium value habitat. Important migration corridor. Abundant gravels suitably sized for trout and salmon species. Channel riffle dominated with likely simplification due to land development.
63,John Brown,123770_ds,00000BULK,0,63,24.2,9.4,9.9,11.2,10.8,15.9,,13.566666666666668,,6.6,6.9,7.8,6.3,7.3,9.7,,7.433333333333331,metre tape,1,,,,,,,1,,0.4,0.5,0.4,,0.43333333333333335,,3,5.5,4.5,3.5,0.04125,,moderate,,10,recording meter,94,,7.25,,Clear,moderate,trace,trace,dominant,trace,sub-dominant,sub-dominant,none,21-40%,few,clumped,mosses,sloping,large rock/bedrock,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,large rock/bedrock,cobbles,120.7,19,,sinuous,Partially Coupled,frequently confined,,,,,,,,,"Pools are estimated depth, unable to get close. End of survey at confluence. Low to moderate habitat value. Quite swift water over predominantly bedrock substrate with little or no large or small woody debris. One really nice pool with a chute that could hold travelling adult fish. At times steep banks (almost canyon like), with what might be challenging travel for fish. Bedrock quite uniform with little to no hbaitat value. Initially cobbled and cooble /gravel aluvial fan but middle and majority of survey was bedrock. Several dead salmon found near end of surey (suspected to be pink salmon). Boulders throughout could provide some habitat value."
64,John Brown,123770_us2,00000BULK,0,64,11.5,13,14,10.8,9.6,8.3,,11.2,,5,12.5,10.7,9.2,7.7,9.6,,9.116666666666669,metre tape,0.3,0.35,,,,,,0.325,,0.5,0.4,0.3,0.4,0.4,,3.5,2.5,2.5,3.5,0.03,,moderate,,10,recording meter,94,,7.25,,Clear,moderate,sub-dominant,trace,dominant,trace,trace,sub-dominant,none,1-20%,few,clumped,mosses,sloping,cobbles,,mixed forest,mature forest,sloping,gravels,,mixed forest,mature forest,cobbles,boulders,40,18,,sinuous,Partially Coupled,occasionally confined,,,,,,,,,"Moderate to high habitat value, cold and fast. Lots of boulders and refuge and some side / margin habitat. Large woody debris rare and not across stream. Initially multiple undercut banks but majority of survey was sloped banks with cobble / gravel. Flow is high end of moderate, sometimes close to bankful but often ~90%. Lots of large instream boulders and associated downstream eddies / small pools. Few true deep pool, more ofter just a deep glide or boulder refuge. Seems similar to Corya, feels like Bull trout / Dolly varden habitat. Margin habitat not large or overly dominant. Good riparian vegetation / forest with lots of shrubs in the understorey. Large boulders common. 1 ~40mm fish spotted in side margin boulder refuge halfway through survey."
65,John Brown,123770_us,00000BULK,0,65,11.1,9.9,13.6,13.3,15.4,10.2,,12.25,,8.199999999999998,7.5,10.8,6,10.1,7.2,,8.3,metre tape,1.8,0.47,0.54,0.45,,,,0.815,,0.4,0.45,0.5,,0.45,,3.5,4,2,2,0.02875,,low,,10,recording meter,94,,7.25,,Clear,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,none,21-40%,few,evenly distributed,none,undercut,fines,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,cobbles,gravels,60,35,,sinuous,Partially Coupled,occasionally confined,beaver dam,1,5,metre stick,9,680470,6039751,gps,High value habitat. Frequent section of gravels suitable for spawning. Occasional very deep pools formed by large woody debris. Large eroding bank near mill. Mealthy mature mixed riparian vegetation.
72,Tobbogan Creek,57944_us,00000BULK,0,72,9.2,7.9,10.1,10.7,8.15,5.2,,8.54166666666667,,8.8,7.3,7.3,9.9,3.5,3.4,,6.7,metre tape,0.4,0.45,0.6,0.55,0.6,,,0.52,,0.3,0.35,0.45,,0.3666666666666666,,2,3,2,1.5,0.02125,,high,,8,recording meter,74,,8.25,,Moderately Turbid,moderate,sub-dominant,dominant,sub-dominant,trace,trace,dominant,trace,1-20%,few,evenly distributed,,undercut,cobbles,,mixed forest,mature forest,sloping,fines,,mixed forest,mature forest,cobbles,gravels,66,15,,sinuous,Partially Coupled,frequently confined,,,,,,,,,Moderate value habitat. Water was high and moderately turbid during the survey.  Complexity relatively low with large woody debris providing highest habitat values when present.  Armouring of the banks near private resident access roads was noted.
73,Tobbogan Creek,57944_ds,00000BULK,0,73,15.2,13.6,12.8,,,,,13.866666666666664,,9,11.8,9.6,,,,,10.133333333333333,metre tape,0.3,,,,,,,0.3,,0.9,,,,0.9,,5.5,,,,0.055,,,,8,recording meter,74,,8.25,,Moderately Turbid,moderate,sub-dominant,sub-dominant,sub-dominant,dominant,trace,sub-dominant,none,1-20%,few,clumped,,undercut,fines,,mixed forest,mature forest,sloping,gravels,,deciduous forest,young forest,cobbles,boulders,,,,,,,,,,,,,,,Medium important migration corridor. Survey to Bulkley. Pinks at fence
74,Tobbogan Creek,57944_us2,00000BULK,0,74,11,12.2,14.5,,,,,12.566666666666668,,10.6,9.7,11.2,,,,,10.499999999999998,metre tape,2,2,2,,,,,2,,0.4,0.4,0.4,,0.4000000000000001,,0.5,0.5,,,0.005,,moderate,,10,recording meter,56,,6.98,,Moderately Turbid,abundant,sub-dominant,trace,none,sub-dominant,dominant,sub-dominant,trace,21-40%,few,evenly distributed,vascular plants,undercut,fines,,mixed forest,mature forest,sloping,gravels,,shrubs,shrub,gravels,fines,,,,irregular meanders,Decoupled,unconfined,,,,,,,,,Survey from Owens creek bridge for ~150m to Eliot creek. 50m downstream is intake for hatchery and riprap 5.5% cascade for 16.5m. High value spawning habitat. Spawners present. Abundant very deep pools.
75,McDowell Creek,58151_ds,00000BULK,0,75,1.3,2.1,1.9,,,,,1.7666666666666668,,,,,,,,,,,,,,,,,,,,0.3,0.3,,,0.3,,1,1,1.5,,0.011666666666666667,,low,,,,,,,,,abundant,sub-dominant,trace,none,sub-dominant,,dominant,sub-dominant,71-90%,none,,,undercut,fines,,grass,initial,sloping,gravels,,deciduous forest,young forest,gravels,fines,,0.1,,irregular wandering,Decoupled,unconfined,,,,,,,,,"Moderate to low value. Channel dry throughout. Outlet pool about half full, otherwise no water. Thick riparian vegetation providing cover (mostly grass) with some undercuts and what appears to be pool potential. Large and small woody debris are scarce. Riparian vegetation appears to be new. Lots of fines, likely a lot of sediment from run off and heavy agricultural use. Survey some what short due to proximity to farms, (feels like I'm in the yard). Fish value must be variable between years and seasons. At times riparian vegetation is only grass with road or farm field nearby."
76,McDowell Creek,58151_us,00000BULK,0,76,1.8,2.2,1.2,,,,,1.7333333333333334,,,,,,,,,,,,,,,,,,,,0.3,0.4,,,0.35,,1,1,0.5,,0.008333333333333333,,low,,,,,,,,,abundant,sub-dominant,none,none,sub-dominant,none,dominant,none,71-90%,none,,,undercut,fines,,grass,initial,sloping,fines,,deciduous forest,young forest,fines,gravels,,0.08,,irregular meanders,Decoupled,unconfined,,,,,,,,,"Low to moderate habitat value, channel dry. Dominant cover would be overhanging vegetation. Grass is very thick on right bank. Close to house so very short dry survey. When watered, undercuts and small woody debris would be valuable. Lots of fines and sediment likely from high amount of development of yards, roads, and agriculture. Channel well defined. Must be variably valuable to fish depenting on season and year."
77,McDowell Creek,123544_ds,00000BULK,0,77,2.4,2.3,2.8,2.5,2.6,2.7,2.7,2.571428571428572,,,,,,,,,,,,,,,,,,,,0.35,,,,0.35,,1,1,4,,0.02,,,,,,,,,,,abundant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,none,>90%,few,evenly distributed,mosses,undercut,fines,,deciduous forest,,undercut,fines,,deciduous forest,,gravels,fines,,,,,,,,,,,,,,,Medium value when wetted. Dry at time of survey. Channel well defined with frequent gravels throughout and deeply undercut banks through thick red-osier and open mature cottonwood forest.
78,Witset Creek,123775_us,00000BULK,0,78,3,2.3,1.82,,,,,2.373333333333333,,0.4,1.37,,,,,,0.885,,,,,,,,,,,,,,,,,1.5,1,1,,0.011666666666666667,,low,,11,recording meter,152,,7.94,,Clear,moderate,sub-dominant,sub-dominant,none,none,none,dominant,sub-dominant,71-90%,,,,V-shaped,fines,,shrubs,shrub,V-shaped,fines,,shrubs,shrub,gravels,fines,,,,sinuous,Partially Coupled,not applicable,,,,,,,,,"Wet mud substrate. Water in channel may be due to previous rainfall. No flow. Beaver activity present water level at extremely low to none. Thick brush on both. Stream channel overgrown, possible dewatering. At Witset lake outlet access is private land. At waypoint WP020 lake outflow disconnected from stream. witset mainenance actively traps beavers to prevent flood events as of 2017. Waypoint WP021 water levels appeared to have dropped 60cm, dock dropped and is no longer floating. Water receded 2.1m at start of summer."
80,Station Creek,124420_us,00000BULK,0,80,4.6,5.7,5.3,6.2,5.9,6.2,,5.650000000000001,,3.5,4.5,5.3,4.2,5.7,4.8,,4.666666666666667,,0.4,0.56,,,,,,0.48,,0.37,0.35,,,0.36,,2,2,,,0.02,,moderate,,8,recording meter,89,,7.9,,Moderately Turbid,abundant,sub-dominant,dominant,none,sub-dominant,sub-dominant,sub-dominant,none,21-40%,abundant,evenly distributed,,undercut,fines,,deciduous forest,young forest,sloping,gravels,,shrubs,shrub,cobbles,gravels,,,,sinuous,,,beaver dam,1.5,20,ground estimate,9,608287,6088878,gps,~150m higher gradient ~3-4% with cobble dominant then levelling out. Frequent pockets of gravels suitable for spawning throughout. High value spawning habitat in upper end of survey area. Refer to Natalie's report.
81,Waterfall Creek,124420_us2,00000BULK,0,81,7,5.4,,,,,,6.2,,5.8,5.2,,,,,,5.5,,,,,,,,,,,,,,,,,0.5,0.5,,,0.005,,moderate,,8,recording meter,89,,7.9,,Clear,abundant,trace,none,none,sub-dominant,sub-dominant,sub-dominant,dominant,1-20%,none,,vascular plants,undercut,fines,,shrubs,,sloping,fines,,wetland,shrub,fines,gravels,,,,,,,,,,,,,,,Site is just upstream of confluence with Mission. Deep glide habitat with aquatic vascular plant cover throughout. Area is beaver influenced and provides large amounts of juvenile rearing habitat. WP422 channel splits with more flow from south channel. Channel beside railway is full of grass and duckweed ~3.5m wide.
82,Station Creek,124420_ds,00000BULK,0,82,6.2,3.6,6.32,5.3,8.099999999999998,7.2,,6.120000000000001,,4.6,4.1,4.5,3.2,7.3,4,,4.616666666666665,,0.6,0.5,0.45,,,,,0.5166666666666667,,0.3,0.3,0.4,0.4,0.35,,2,1.5,2,3,0.02125,,moderate,,8,recording meter,93,,6.31,,Moderately Turbid,abundant,sub-dominant,dominant,sub-dominant,trace,trace,sub-dominant,trace,21-40%,few,evenly distributed,mosses,undercut,gravels,,mixed forest,mature forest,sloping,cobbles,,mixed forest,mature forest,gravels,cobbles,0.75,0.08999999999999998,,sinuous,Coupled,confined,,,,,,,,,"Has very deep undercut banks. High to moderate habitat value. Complex system with lots of small and large woody debris, pools, and deep undercuts. Multiple steep banks showing signs of erosion sluffing and fine sediment. Lots of large and small woody debris. Encountered lots of sediments at times. Multiple areas with braided streams around woody debris. Deep, fast flowing areas (not true pools). Confined valley. Water moderate stage and turbid from recent rains. Possible signs of quick increase in water."
83,Unnamed Tributary to Waterfall Creek,124421_us,00000BULK,0,83,2.5,3.6,2.7,1.7,,,,2.625,,2.6,3.3,2.7,1.5,,,,2.5250000000000004,,0.35,,,,,,,0.35,,0.3,0.3,,,0.3,,0.5,1.5,,,0.01,,moderate,,9,recording meter,87,,6.7,,Clear,abundant,sub-dominant,trace,none,sub-dominant,trace,sub-dominant,dominant,71-90%,few,evenly distributed,mosses,undercut,fines,,grass,initial,sloping,fines,,shrubs,shrub,fines,gravels,,0.08,,irregular meanders,Decoupled,unconfined,,,,,,,,,"Not sure about crossing number (furthest south crossing). High to moderate habitat. Slow moving almost wetland like stream. Deep glides throughout. Lots of instream vegetation, overhanging vegetation, and undercut banks. Initially deep organic / fines substrate. Near top of survey, gradient increased slightly and substrate goes to small gravel. Moderate to high stagnant water often smelling of sulfur. Tons of vegetation, shrubs and sedge on banks. Water almost at bankful. Appears to have very unstable flows."
84,Unnamed Tributary to Waterfall Creek,124421_ds,00000BULK,0,84,1.61,,,,,,,1.61,,1.53,,,,,,,1.53,,,,,,,,,,,,,,,,,1,,,,0.01,,,,9,recording meter,87,,6.7,,Clear,,none,none,none,none,sub-dominant,sub-dominant,dominant,1-20%,,,vascular plants,V-shaped,fines,,shrubs,shrub,V-shaped,fines,,shrubs,shrub,fines,gravels,,,,,,,,,,,,,,,"Hit railway culvert at 589480, 6123016. Habitat has defined channel that widens into small wetland complex dominated by tall grasses. High amounts of instream vegetation with muddy substrate."
85,Unnamed Tributary to Waterfall Creek,124422_us,00000BULK,0,85,12,6,4.9,2.5,8,,,6.68,,12,6,4.7,2.3,8,,,6.6,,,,,,,,,,,0.4,0.3,0.3,,0.33333333333333326,,0.5,0.5,2,1,0.01,,high,,9,recording meter,87,,6.7,,Clear,abundant,sub-dominant,trace,none,sub-dominant,trace,sub-dominant,dominant,71-90%,few,evenly distributed,vascular plants,undercut,fines,,grass,initial,sloping,fines,,shrubs,shrub,fines,gravels,,,,regular meanders,Decoupled,unconfined,,,,,,,,,Must be a beaver dam arount waypoint WP426. Could not find it
86,Waterfall Creek,124424_ds,00000NA,0,86,8.8,8.3,3.5,6.1,6.8,6.9,,6.7333333333333325,,7.8,7.8,10,14.5,15.3,16.1,,11.916666666666666,,,,,,,,,,,,,,,,,1,0.5,0.5,0.5,0.00625,,moderate,,,,,,,,,moderate,none,none,none,none,sub-dominant,sub-dominant,dominant,1-20%,none,,,V-shaped,fines,,shrubs,shrub,V-shaped,fines,,shrubs,shrub,fines,gravels,,,,straight,Decoupled,confined,,,,,,,,,Water enters wetland complex dense in grasses and shrubs. Deep water and dense instream vegetation. Wetland / stream is relatively straight and runs paralell to railway. Thick grasses make it difficult to walk and estimate width. Water is deeper than 1.5m near stream edge. Water holes throughout.
15,Cesford Creek,198049_us2,00000BULK,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,1.3,6.5,ground estimate,9,675438,6044621,gps,feature_record_only
16,Thompson Creek,123377_ds,00000BULK,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,1.2,5.1,metre stick,9,641522,6049516,gps,feature_record_only
16,Thompson Creek,123377_ds,00000BULK,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,0.85,2,metre stick,9,641475,6049548,gps,feature_record_only
22,Unnamed Tributary to Owen Creek,197379_us,00000MORR,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,1.3,5,metre stick,9,641412,6006212,gps,feature_record_only
44,Ailport Creek,197976_ds,00000BULK,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fence,1,10,ground estimate,9,680470,6039751,gps,feature_record_only
44,Ailport Creek,197976_ds,00000BULK,0,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWD Jam,1,17,ground estimate,9,680185,6039713,gps,feature_record_only
79,Witset Creek,123775_ds,00000BULK,0,79,0.5,,,,,,,0.5,metre tape,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0.01,,,,,,,,,,,abundant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Unnamed Tributary to Maxan,197909_us,00000BULK,0,87,1.3,,,,,,,1.3,metre tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,recording meter,106,recording meter,7.2,pH meter (general),clear,moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beaver dam,1.5,2,ground estimate,9,687501,6020557,gps,Beaver dam area at top of site.
90,Richfield Creek,197662_us,00000BULK,0,90,13.8,16.2,11.2,13.2,11.6,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2,2.5,1.5,0.02125,,,,10,recording meter,234,recording meter,8.099999999999998,pH meter (general),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
